architecture,family,design,N,g,c_A,c_B,specificity,mode,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,population_OE_A,population_OE_B,expected_RC
B1,main,paired,2000,0,0.7,0.75,0.995,independent,10000,10000,0,1.209129452,1.16803315562,-0.0410962963816,-0.0410962963816,-0,0.00643712304081,6.43712304081e-05,-0.0339730086828,-0.0339883345935,-0.0432956374995,-0.0254730827737,-0.0545766059982,-0.029393607235,0.0007,0.0002644825136,0.000339126331688,0.00144433444127,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.16835815558,-0.0340063327383
B1,main,paired,2000,0,0.7,0.775,0.995,independent,10000,10000,0,1.209129452,1.14829350505,-0.0608359469563,-0.0608359469563,-0,0.00823054382194,8.23054382194e-05,-0.0502902209441,-0.0503138409667,-0.0613224094817,-0.0400129488017,-0.0778804659447,-0.0457159868357,0.5149,0.0049977794069,0.505100690015,0.524687866833,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.14859611273,-0.0503455076282
B1,main,paired,2000,0,0.7,0.8,0.995,independent,10000,10000,0,1.209129452,1.12895520671,-0.0801742452928,-0.0801742452928,-0,0.00986801756256,9.86801756256e-05,-0.0662729539383,-0.0663074124611,-0.0785279140859,-0.0545878103011,-0.100492211168,-0.0617832193403,0.9967,0.000573507628546,0.995369359428,0.99764917659,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.12934399091,-0.0662630819402
B1,main,paired,2000,0,0.7,0.825,0.995,independent,10000,10000,0,1.209129452,1.11019305012,-0.0989364018875,-0.0989364018875,-0,0.0114159191793,0.000114159191793,-0.0817824831374,-0.0818244909374,-0.0953262168235,-0.0689849016399,-0.122722596695,-0.0776528061256,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.0042,0.000646711682282,0.00310887696814,0.00567189581622,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.11058377615,-0.0817739495308
B1,main,paired,2000,0,0.7,0.85,0.995,independent,10000,10000,0,1.209129452,1.09191248005,-0.117216971957,-0.117216971957,-0,0.0129131179733,0.000129131179733,-0.0968898475848,-0.0969432774656,-0.111136171229,-0.0831875368781,-0.143910555499,-0.0931886656123,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.3309,0.00470537129247,0.321744118073,0.340185750176,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.0922982684,-0.0968923313413
B1,main,paired,2000,0,0.7,0.875,0.995,independent,10000,10000,0,1.209129452,1.07410867269,-0.135020779316,-0.135020779316,-0,0.0142534813671,0.000142534813671,-0.111609787982,-0.111667761539,-0.126800370666,-0.0972107244442,-0.164063138951,-0.108516472521,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.9405,0.0023655813239,0.935692199671,0.944969497765,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.07447103659,-0.111631812514
B1,main,paired,2000,0,0.7,0.9,0.995,independent,10000,10000,0,1.209129452,1.05666325421,-0.15246619779,-0.15246619779,-0,0.0155683150729,0.000155683150729,-0.126030598388,-0.126095843201,-0.141538298087,-0.111085045566,-0.18431991934,-0.123421299776,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.9994,0.00024487547856,0.998691475904,0.999724986524,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.05708637666,-0.126005377092
B1,main,paired,2000,0,0.7,0.925,0.995,independent,10000,10000,0,1.209129452,1.03967335517,-0.169456096832,-0.169456096832,-0,0.0168797290144,0.000168797290144,-0.140072886001,-0.140147191478,-0.156255982435,-0.124687974148,-0.204206205854,-0.1380946895,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.04012927233,-0.140025440482
B1,main,paired,2000,0,0.7,0.95,0.995,independent,10000,10000,0,1.209129452,1.02312174207,-0.186007709928,-0.186007709928,-0,0.0181382679162,0.000181382679162,-0.153753321244,-0.153836059174,-0.170570621242,-0.137546822851,-0.223737216134,-0.152208591035,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.02358535829,-0.153703879849
B1,main,paired,2000,0,0.7,0.975,0.995,independent,10000,10000,0,1.209129452,1.00702978802,-0.202099663986,-0.202099663986,-0,0.0193019761823,0.000193019761823,-0.167058371521,-0.16714476986,-0.184253014225,-0.150811143506,-0.241476136503,-0.166277886982,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.00744088582,-0.167052062591
B1,main,paired,2000,0,0.7,1,0.995,independent,10000,10000,0,1.209129452,0.991297989925,-0.217831462077,-0.217831462077,-0,0.0204542857698,0.000204542857698,-0.180064082453,-0.180155616685,-0.197556086475,-0.16324809822,-0.26003704835,-0.179838410831,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,0.991682690441,-0.180080873037
